"Plot Title: MD_E6_LOW_20AUG19"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517216, SEN S/N: 10517216, LBL: Temp)","Intensity, Lux (LGR S/N: 10517216, SEN S/N: 10517216, LBL: Light)","Bad Battery (LGR S/N: 10517216)","End Of File (LGR S/N: 10517216)"
420,09/24/19 10:05:00 PM,8.978,0.0,,
421,09/25/19 12:05:00 AM,8.978,0.0,,
422,09/25/19 02:05:00 AM,8.879,0.0,,
423,09/25/19 04:05:00 AM,8.978,0.0,,
424,09/25/19 06:05:00 AM,8.879,0.0,,
425,09/25/19 08:05:00 AM,8.978,0.0,,
426,09/25/19 10:05:00 AM,8.978,53.8,,
427,09/25/19 12:05:00 PM,8.779,53.8,,
428,09/25/19 02:05:00 PM,8.978,64.6,,
429,09/25/19 04:05:00 PM,8.879,53.8,,
430,09/25/19 06:05:00 PM,8.779,0.0,,
431,09/25/19 08:05:00 PM,8.779,0.0,,
432,09/25/19 10:05:00 PM,8.779,0.0,,
433,09/26/19 12:05:00 AM,8.779,0.0,,
434,09/26/19 02:05:00 AM,8.779,0.0,,
435,09/26/19 04:05:00 AM,8.680,0.0,,
436,09/26/19 06:05:00 AM,8.680,0.0,,
437,09/26/19 08:05:00 AM,8.680,10.8,,
438,09/26/19 10:05:00 AM,8.779,32.3,,
439,09/26/19 12:05:00 PM,8.879,43.1,,
440,09/26/19 02:05:00 PM,9.077,75.3,,
441,09/26/19 04:05:00 PM,9.176,32.3,,
442,09/26/19 06:05:00 PM,9.176,0.0,,
443,09/26/19 08:05:00 PM,9.176,0.0,,
444,09/26/19 10:05:00 PM,9.176,0.0,,
445,09/27/19 12:05:00 AM,9.176,0.0,,
446,09/27/19 02:05:00 AM,9.176,0.0,,
447,09/27/19 04:05:00 AM,9.077,0.0,,
448,09/27/19 06:05:00 AM,9.077,0.0,,
449,09/27/19 08:05:00 AM,9.077,0.0,,
450,09/27/19 10:05:00 AM,9.077,0.0,,
451,09/27/19 12:05:00 PM,9.077,43.1,,
452,09/27/19 02:05:00 PM,9.176,43.1,,
453,09/27/19 04:05:00 PM,9.176,53.8,,
454,09/27/19 06:05:00 PM,9.077,0.0,,
455,09/27/19 08:05:00 PM,8.978,0.0,,
456,09/27/19 10:05:00 PM,8.779,0.0,,
457,09/28/19 12:05:00 AM,8.481,0.0,,
458,09/28/19 02:05:00 AM,8.382,0.0,,
459,09/28/19 04:05:00 AM,8.382,0.0,,
460,09/28/19 06:05:00 AM,7.983,0.0,,
461,09/28/19 08:05:00 AM,7.782,0.0,,
462,09/28/19 10:05:00 AM,7.983,172.2,,
463,09/28/19 12:05:00 PM,7.983,86.1,,
464,09/28/19 02:05:00 PM,7.882,64.6,,
465,09/28/19 04:05:00 PM,7.882,0.0,,
466,09/28/19 06:05:00 PM,7.983,0.0,,
467,09/28/19 08:05:00 PM,8.182,0.0,,
468,09/28/19 10:05:00 PM,8.082,0.0,,
469,09/29/19 12:05:00 AM,7.682,0.0,,
470,09/29/19 02:05:00 AM,7.381,0.0,,
471,09/29/19 04:05:00 AM,7.179,0.0,,
472,09/29/19 06:05:00 AM,7.179,0.0,,
473,09/29/19 08:05:00 AM,7.079,0.0,,
474,09/29/19 10:05:00 AM,7.280,32.3,,
475,09/29/19 12:05:00 PM,7.381,64.6,,
476,09/29/19 02:05:00 PM,7.582,236.8,,
