Plot Title: SONDE_20July20,,,,,,,
#,"Date Time, ADJUSTED","Temp, °C (LGR S/N: 10349963, SEN S/N: 10349963)","Intensity, Lux (LGR S/N: 10349963, SEN S/N: 10349963)",Host Connected (LGR S/N: 10349963),Coupler Attached (LGR S/N: 10349963),Stopped (LGR S/N: 10349963),End Of File (LGR S/N: 10349963)
465,7/30/2020 6:00,9.472,7233.4,,,,
466,7/30/2020 6:30,10.161,11022.3,,,,
467,7/30/2020 7:00,12.013,17911.2,,,,
468,7/30/2020 7:30,13.269,22044.6,,,,
469,7/30/2020 8:00,19.472,22044.6,,,,
470,7/30/2020 8:30,19.948,28933.5,,,,
471,7/30/2020 9:00,23.004,39955.8,,,,
472,7/30/2020 9:30,24.062,126756.4,,,,
473,7/30/2020 10:00,25.902,126756.4,,,,
474,7/30/2020 10:30,26.292,143289.8,,,,
475,7/30/2020 11:00,29.053,121245.2,,,,
476,7/30/2020 11:30,30.659,74400.5,,,,
477,7/30/2020 12:00,30.659,121245.2,,,,
478,7/30/2020 12:30,30.054,126756.4,,,,
479,7/30/2020 13:00,28.357,126756.4,,,,
480,7/30/2020 13:30,30.054,88178.4,,,,
481,7/30/2020 14:00,36.187,66133.8,,,,
482,7/30/2020 14:30,29.953,79911.6,,,,
483,7/30/2020 15:00,23.292,55111.5,,,,
484,7/30/2020 15:30,21.664,99200.7,,,,
485,7/30/2020 16:00,19.472,41333.6,,,,
486,7/30/2020 16:30,14.038,22044.6,,,,
487,7/30/2020 17:00,13.942,26178,,,,
488,7/30/2020 17:30,13.654,20666.8,,,,
489,7/30/2020 18:00,13.942,19977.9,,,,
490,7/30/2020 18:30,14.23,19289,,,,
491,7/30/2020 19:00,13.654,16533.4,,,,
492,7/30/2020 19:30,12.11,13777.9,,,,
493,7/30/2020 20:00,12.013,7233.4,,,,
494,7/30/2020 20:30,11.722,4305.6,,,,
495,7/30/2020 21:00,12.401,8266.7,,,,
496,7/30/2020 21:30,10.944,2583.4,,,,
497,7/30/2020 22:00,10.846,1550,,,,
498,7/30/2020 22:30,11.722,958,,,,
499,7/30/2020 23:00,11.236,290.6,,,,
500,7/30/2020 23:30,10.259,64.6,,,,
501,7/31/2020 0:00,10.553,10.8,,,,
502,7/31/2020 0:30,9.866,0,,,,
503,7/31/2020 1:00,9.472,0,,,,
